,fantasy
1077,"A young boy's imagination summons cowboy legend Pecos Bill, who helps him save the family farm from a greedy land-grabber. With the help of a lumberjack and a railroad worker, they all embark on a surprise-filled adventure."
1078,"Kaguya is a beautiful young woman coveted by five nobles. To try to avoid marrying a stranger she doesn't love, she sends her suitors on seemingly impossible tasks. But she will have to face her fate and punishment for her choices."
1079,"Discovering his ties to a secret ancient order, a young man living in modern Istanbul embarks on a quest to save the city from an immortal enemy."
1080,A superhuman firefighter force is formed to deal with supernatural fire incidents.
1081,"Rookie cop Denny Colt returns from the beyond as The Spirit, a hero whose mission is to fight against the bad forces in Central City."
1082,"Ethan Wate longs to escape his small southern town. He meets a mysterious new girl, Lena Duchannes. Together, they uncover dark secrets about their respective families, their history, and their town."
1083,"A young man is magically turned a merman, and discovers his underwater origins, after he comes in contact with the magic waters at the mysterious Mako Island guarded by a trio of mermaids."
1084,"An anthology series that follows different chapters of the Midnight Society, a group of teenagers who gather at midnight to tell scary stories, such as the Carnival of Doom, Curse of the Shadows, and Ghost Island."
1085,A mother-and-son team of strange supernatural creatures move to a small town to seek out a young virgin to feed on.
1086,A musical comedy adventure featuring a knight on a quest for love who helps a childish king to see the error of his ways.
1087,"When King Uther dies and Britain faces chaos, Merlin presents an unknown named Arthur as the new king by birthright, as the late king's son, against the ambitious desires of his half-sister, Morgan."
1088,"The world-famous singing preteen chipmunk trio return to contend with the pressures of school, celebrity, and a rival female music group known as The Chipettes."
1089,"When Prince Fabious's bride is kidnapped, he goes on a quest to rescue her... accompanied by his lazy useless brother Thadeous."
1090,"Hollywood actor Simon Williams is thrust into the world of superheroes as he gets powers of his own, and becomes the new superhero Wonder Man."
1091,"An animated retelling of Charles Dickens' classic novel about a Victorian-era miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions."
1092,"Neal Oliver, a very confused young artist, takes a journey of a lifetime on a highway that doesn't exist on any map, going to places he's never heard of, searching for an answer and his dream girl."
1093,An evil queen steals control of a kingdom and an exiled princess enlists the help of seven resourceful rebels to win back her birthright.
1094,"While attending his brother's wedding, a serial womanizer is haunted by the ghosts of his past girlfriends."
1095,A victim of a brutal attack finds a unique and beautiful therapeutic outlet to help him through his recovery process.
1096,"Scooby and the gang face their most challenging mystery ever: a plot to unleash the ghost dog Cerberus upon the world. As they race to stop this dogpocalypse, the gang discovers that Scooby has an epic destiny greater than anyone imagined."
1097,"Inspired by an epic Chinese tale, translated into an action-packed comedy, a Monkey and his magical fighting Stick battle demons, dragons, gods and the greatest adversary of all - Monkey's ego."
1098,The Fellowship of the Ring embark on a journey to destroy the One Ring and end Sauron's reign over Middle-earth.
1099,"A poor boy named Arthur learns the power of love, kindness, knowledge and bravery with the help of a wizard called Merlin in the path to become one of the most beloved kings in English history."
